event-id,timestamp,location-long,location-lat,external-temperature,gps:dop,height-raw,sensor-type,tag-local-identifier,individual-local-identifier
9710307845,2014-01-25 18:50,-111.399085,56.849463,8.0,1.8,287.19,gps,13794,13794
9710432578,2012-06-03 01:00,-111.557267,57.359341,25.0,2.2,300.76,gps,32251,32251
9710407329,2012-06-16 03:00,-111.658073,56.666535,19.0,1.8,396.0,gps,32267,32267
9710444985,2013-06-04 04:30,-111.550293,59.980945,18.0,3.6,192.46,gps,33679,33679
9710353221,2012-06-07 10:00,-111.141888,56.676564,20.0,2.2,219.29,gps,32260,32260
9710505188,2013-01-13 22:21,-111.600986,56.651227,-9.0,2.0,236.71,gps,33672,33672
9710338644,2012-03-26 22:00,-111.6699,57.243704,15.0,1.6,273.68,gps,32268,32268
9710503461,2012-11-21 00:00,-111.196668,56.900274,-1.0,3.8,253.6,gps,32258,32258
9710527006,2014-01-25 06:00,-111.495478,57.384993,-2.0,3.2,316.93,gps,33676,33676
9710528361,2014-02-03 15:50,-111.667207,57.332745,5.0,1.8,232.11,gps,33676,33676
9710417638,2013-01-27 07:00,-111.911719,57.078156,9.0,2.2,373.65,gps,33681,33681
9710359966,2013-03-22 11:50,-111.440409,56.800909,1.0,1.6,303.57,gps,32261,32261B
9710355428,2012-11-12 08:15,-111.214384,56.681057,5.0,1.6,231.44,gps,32260,32260
9710359615,2013-03-20 01:20,-111.505773,56.792842,5.0,1.8,338.15,gps,32261,32261B
9710499501,2012-04-11 06:15,-111.287329,57.117555,8.0,1.8,339.72,gps,32258,32258
9710497786,2013-05-19 16:01,-112.028982,56.905364,23.0,5.4,422.44,gps,32259,32259
9710297645,2014-01-24 00:30,-111.935949,57.072189,9.0,2.8,400.06,gps,13790,13790
9710446881,2013-07-17 01:00,-111.775333,60.038084,25.0,1.8,165.71,gps,33679,33679
9710332363,2014-02-15 02:30,-112.207744,56.988311,-15.0,2.0,426.9,gps,33678,33678B
9710439692,2013-07-05 19:02,-111.417754,57.423844,21.0,1.6,286.19,gps,32251,32251
9710406193,2012-04-17 21:15,-111.563192,56.613746,19.0,2.2,348.85,gps,32267,32267
9710526181,2014-01-19 12:30,-111.444329,57.400352,-4.0,5.2,305.33,gps,33676,33676
9710329539,2014-01-26 11:50,-112.289287,56.832205,-14.0,1.6,442.76,gps,33678,33678B
9710495587,2012-12-25 01:00,-111.95616,56.943959,-18.0,1.8,372.69,gps,32259,32259
9710333082,2014-02-20 02:30,-111.929158,56.95042,3.0,2.2,361.42,gps,33678,33678B
9710422589,2012-12-27 07:00,-112.073646,56.5731,-1.0,1.6,438.77,gps,33680,33680
9710298374,2014-01-29 02:00,-111.93161,57.072627,0.0,5.2,387.52,gps,13790,13790
9710357537,2012-04-17 13:00,-111.407129,57.024789,-1.0,1.6,309.86,gps,32261,32261A
9710330070,2014-01-30 04:20,-112.116932,56.668818,-16.0,1.8,462.15,gps,33678,33678B
